year,pixels_forest,pixels_unplanned,pixels_planned,pct_unplanned_of_forest,pct_planned_of_forest
2017,133564631,8465892,5352115,6.338423530702525,4.007134942782869
2018,133564631,8543260,7140175,6.39634904542955,5.345857617051329
2019,133564631,10931314,5388079,8.18428794970429,4.034061232872347
2020,133564631,16742818,4354865,12.535367989748723,3.260492667403843
2021,133564631,5868262,4639472,4.393574822963424,3.4735782708822067
